Specimen ID,Repeat or New Specimen?,Shipment,Species,Location,Month,Year,Sex,Stomach Goo,Intestinal Goo,,Fish,Cephalopod,Shrimp,Polychaete,Other,Tooth_age
PH22SH015-F,New,3,ringed seal,Shishmaref,OCT,2022,M,No,Yes,NA,NA,NA,NA,NA,NA,15
PH22SH036-F,New,3,ringed seal,Shishmaref,OCT,2022,M,No,Yes,NA,NA,NA,NA,NA,NA,21
PH22SH043-F,New,3,ringed seal,Shishmaref,OCT,2022,F,No,Yes,NA,NA,NA,NA,NA,NA,7
PH23GAM007-F,New,3,ringed seal,Gambell,JUN,2023,F,No,Yes,NA,NA,NA,NA,NA,NA,0
PH23SH005-F,New,3,ringed seal,Shishmaref,OCT,2023,M,No,Yes,NA,NA,NA,NA,NA,NA,4
PH23SH013-F,New,3,ringed seal,Shishmaref,OCT,2023,M,No,Yes,NA,NA,NA,NA,NA,NA,0
PH23SH032-F,New,3,ringed seal,Shishmaref,OCT,2023,M,No,Yes,NA,NA,NA,NA,NA,NA,2
PH24GAM014-F,New,3,ringed seal,Gambell,JUN,2024,F,No,Yes,NA,NA,NA,NA,NA,NA,NA
new_beluga1,,,,,,,,,,,,,,,,
new_beluga2,,,,,,,,,,,,,,,,
fin_whale-foregut1,,,,,,,,,,,,,,,,
fin_whale-foregut2,,,,,,,,,,,,,,,,
fin_whale-hindgut,,,,,,,,,,,,,,,,
